iter	Passed	Remaining
0	64	320220
1	132	331109
2	194	323348
3	253	316419
4	312	312480
5	367	305934
6	416	297152
7	469	292718
8	522	289727
9	576	287563
10	634	287771
11	690	286934
12	745	285870
13	801	285316
14	861	286159
15	920	286692
16	976	286243
17	1029	285079
18	1094	286987
19	1151	286795
20	1211	287337
21	1277	289054
22	1341	290331
23	1419	294225
24	1474	293348
25	1530	292789
26	1589	292703
27	1652	293512
28	1714	293865
29	1780	294991
30	1837	294498
31	1896	294400
32	1952	293878
33	2006	293105
34	2061	292467
35	2114	291527
